Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR1081607	2026-08-06 22:52:47	2026-08-06 22:53:24	10721081	3216324300	10721081	300	1159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/DRR001/1081/DRR1081607/DRR1081607.lite.1	DRX1057181		WGS	size fractionation	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	DRP016880	PRJDB39920		1397041	DRS767287	SAMD01950959	simple	318829	Pyricularia oryzae	SAMD01950959							no					KOBE UNIVERSITY	DRA029562		public	243AC948358D0907908BD26C0C503FCD	4A891037A339F9A8C8D64471F00BA2ED
DRR1081608	2026-08-06 22:52:47	2026-08-06 22:51:58	11097944	3329383200	11097944	300	1196		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1307/DRR001/1081/DRR1081608/DRR1081608.lite.1	DRX1057182		WGS	size fractionation	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	DRP016880	PRJDB39920		1397041	DRS767288	SAMD01950960	simple	318829	Pyricularia oryzae	SAMD01950960							no					KOBE UNIVERSITY	DRA029562		public	F3B0EA749C1A73D6DDC2C0964C0BDA0B	7ACED2DEEC4D5FC191A73D3CBBDDA959
ERR17700529	2026-08-12 06:44:22	2026-08-20 16:29:30	2812676	843802800	2812676	300	249		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/ERR017/17700/ERR17700529/ERR17700529.lite.1	ERX17091333	ZMW23_56	WGS	unspecified	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP203542	PRJEB123603		1510978	ERS31049667	SAMEA123300843	simple	318829	Pyricularia oryzae	SAMEA123300843							no					THE SAINSBURY LABORATORY	ERA36821284		public	8854B22EA7ACA4D57DCA7CD158BFD3FF	CCE9723894E7DD547329810459ED5165
ERR17700530	2026-08-14 23:14:06	2026-08-15 14:16:28	3424992	1027497600	3424992	300	303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1216/ERR017/17700/ERR17700530/ERR17700530.lite.1	ERX17091337	ZMW23_83	WGS	unspecified	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP203542	PRJEB123603		1510978	ERS31049671	SAMEA123300847	simple	318829	Pyricularia oryzae	SAMEA123300847							no					THE SAINSBURY LABORATORY	ERA36821284		public	16AD65C1ECA31DDB488984694E35ABF1	81CDDD01DD1533A480A2B07CC4D7DE8A
ERR17700531	2026-08-13 01:19:42	2026-08-20 16:30:56	3834892	1150467600	3834892	300	324		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/ERR017/17700/ERR17700531/ERR17700531.lite.1	ERX17091338	ZMW23_92	WGS	unspecified	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP203542	PRJEB123603		1510978	ERS31049672	SAMEA123300848	simple	318829	Pyricularia oryzae	SAMEA123300848							no					THE SAINSBURY LABORATORY	ERA36821284		public	823CF29683C425E26E9E61D504F74615	12228FA5866DBC4EC66ADA2E5173732A
ERR17700532	2026-08-13 01:48:42	2026-08-20 16:29:44	3472259	1041677700	3472259	300	303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/ERR017/17700/ERR17700532/ERR17700532.lite.1	ERX17091339	ZMW23_95	WGS	unspecified	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP203542	PRJEB123603		1510978	ERS31049673	SAMEA123300849	simple	318829	Pyricularia oryzae	SAMEA123300849							no					THE SAINSBURY LABORATORY	ERA36821284		public	14FF278A9A67F71D5AA6FC0B47CD4398	4802E73A18CA89ED0F29D7425BED265A
SRR40437027	2026-08-31 19:47:55	2026-08-31 19:43:22	26551246	7965373800	26551246	300	2409		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1305/SRR040/40437/SRR40437027/SRR40437027.sralite.1	SRX35035018	T52	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP322222	PRJNA320483		320483	SRS30548279	SAMN62803721	simple	318829	Pyricularia oryzae	T52							no					UNIVERSITY OF KENTUCKY	SRA2527969		public	82B2A3060886F95FFDBB3314A8F8D09C	924B0796936854614D35C9B68D46AB70
SRR40320346	2026-08-24 19:28:18	2026-08-24 19:23:37	22556128	6672342967	22556128	295	2226		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1305/SRR040/40320/SRR40320346/SRR40320346.lite.1	SRX34934899	ALB10	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP730266	PRJNA1197378		1197378	SRS30464103	SAMN45804009	simple	318829	Pyricularia oryzae	ALB10							no					BRAZILIAN AGRICULTURAL RESEARCH CORPORATION	SRA2522262		public	0BA88377F3F44BE1E5F37B8443C10D9E	D7CEF09B3BFDAE65FABCAE4F961DEA2C
SRR40320340	2026-08-24 19:28:18	2026-08-24 19:24:03	13960915	4135747242	13960915	296	1379		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1305/SRR040/40320/SRR40320340/SRR40320340.lite.1	SRX34934905	ALB11	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP730266	PRJNA1197378		1197378	SRS30464109	SAMN45804010	simple	318829	Pyricularia oryzae	ALB11							no					BRAZILIAN AGRICULTURAL RESEARCH CORPORATION	SRA2522262		public	A0516E55783410300B9B449446FF7BE9	BBEA50565AF57087A73BEB78C66A1A1B
SRR40320339	2026-08-24 19:28:18	2026-08-24 19:24:51	13426813	3951783022	13426813	294	1308		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1305/SRR040/40320/SRR40320339/SRR40320339.lite.1	SRX34934906	ALB12	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP730266	PRJNA1197378		1197378	SRS30464110	SAMN45804011	simple	318829	Pyricularia oryzae	ALB12							no					BRAZILIAN AGRICULTURAL RESEARCH CORPORATION	SRA2522262		public	4EFD8958F59AE6D038C8E094F67566D8	84819E8DE783D1866F8C97D0B58EFF32
