Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR38604269	2026-07-09 21:13:15	2026-05-14 00:45:54	805083	5734477532	0	7122	1721		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR38604269/SRR38604269	SRX33410487	KJ201_HiFi	WGS	RANDOM	GENOMIC	SINGLE	0	0	PACBIO_SMRT	Revio	SRP700398	PRJNA1465931		1465931	SRS29149136	SAMN59837073	simple	318829	Pyricularia oryzae	Sample from Pyricularia oryzae KJ201							no					SUNCHON NATIONAL UNIVERSITY	SRA2394643		public	85EF7C7B61C55B23845E1861E11DC831	6AE7FC27E5C111F969D98716ADE7D401
SRR37624333	2026-06-15 11:22:51	2026-03-14 00:35:55	754962	16502540789	0	21858	13295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37624/SRR37624333/SRR37624333.1	SRX32504732	T_P3	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28397754	SAMN56501177	simple	318829	Pyricularia oryzae	T_P3							no					KANSAS STATE UNIVERSITY	SRA2352031		public	59B78623D3103D4D2644D13758221646	0D0E2FF4EF71B22D69E9B66F4DBBD207
SRR37628169	2026-06-15 11:22:51	2026-03-14 12:10:51	324255	6515433244	0	20093	5255		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37628/SRR37628169/SRR37628169.1	SRX32508570	T_NE20	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365026	SAMN56458204	simple	318829	Pyricularia oryzae	T_NE20							no					KANSAS STATE UNIVERSITY	SRA2352186		public	EC515F96D964A3B2CD3B8297CF2D3186	53C9DA4FBEAE2E9A88CDD931462511AC
SRR37628173	2026-06-15 11:22:51	2026-03-14 12:21:53	274487	5576161455	0	20314	4597		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37628/SRR37628173/SRR37628173.1	SRX32508566	T_OKI18	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365014	SAMN56458200	simple	318829	Pyricularia oryzae	T_OKI18							no					KANSAS STATE UNIVERSITY	SRA2352186		public	E4F281D71A8E03BF91AEFE53AEE7F507	4AC0FE898865994315C6565AF9B6173F
SRR37663708	2026-06-15 11:22:51	2026-03-17 12:33:08	110993	2641639375	0	23800	2221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663708/SRR37663708.1	SRX32542369	T_B2	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28397755	SAMN56501178	simple	318829	Pyricularia oryzae	T_B2							no					KANSAS STATE UNIVERSITY	SRA2353486		public	A5DE1C0861F6266B25D8E105856A7FEE	327070E78C37585D2DA0328DC671FA9B
SRR37663716	2026-06-15 11:22:51	2026-03-17 14:55:47	274487	5576161455	0	20314	4597		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663716/SRR37663716.1	SRX32542361	T_OKI18	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365014	SAMN56458200	simple	318829	Pyricularia oryzae	T_OKI18							no					KANSAS STATE UNIVERSITY	SRA2353486		public	E4F281D71A8E03BF91AEFE53AEE7F507	4AC0FE898865994315C6565AF9B6173F
SRR37663714	2026-06-15 11:22:51	2026-03-17 12:31:01	232141	3818221596	0	16447	3237		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663714/SRR37663714.1	SRX32542363	L_Br58	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365024	SAMN56458202	simple	318829	Pyricularia oryzae	L_Br58							no					KANSAS STATE UNIVERSITY	SRA2353486		public	BEB33231A82AFF88DCE3CA3E360A2AE3	E26B1A275899BDC16F9D4C3E5685FE8E
SRR37663713	2026-06-15 11:22:51	2026-03-17 12:28:18	452916	5874788270	0	12971	4941		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663713/SRR37663713.1	SRX32542364	T_T47	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365025	SAMN56458203	simple	318829	Pyricularia oryzae	T_T47							no					KANSAS STATE UNIVERSITY	SRA2353486		public	0B95CB9C98BCCCD6EB2877BC2B39551D	296CF80615BEF43F6A724C36BAEBD992
SRR37663712	2026-06-15 11:22:51	2026-03-17 14:48:06	324255	6515433244	0	20093	5255		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663712/SRR37663712.1	SRX32542365	T_NE20	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365026	SAMN56458204	simple	318829	Pyricularia oryzae	T_NE20							no					KANSAS STATE UNIVERSITY	SRA2353486		public	EC515F96D964A3B2CD3B8297CF2D3186	53C9DA4FBEAE2E9A88CDD931462511AC
SRR37663711	2026-06-15 11:22:51	2026-03-17 12:32:18	244919	5393286495	0	22020	4509		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663711/SRR37663711.1	SRX32542366	L_ATCC64557	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28365027	SAMN56458205	simple	318829	Pyricularia oryzae	L_ATCC64557							no					KANSAS STATE UNIVERSITY	SRA2353486		public	F642020516DECBCC9647FA1060BD7061	F06BE4D5C12A2ADC8977FB53F4F42DB0
SRR37663709	2026-06-15 11:22:51	2026-03-17 15:34:08	754962	16502540789	0	21858	13295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663709/SRR37663709.1	SRX32542368	T_P3	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28397754	SAMN56501177	simple	318829	Pyricularia oryzae	T_P3							no					KANSAS STATE UNIVERSITY	SRA2353486		public	59B78623D3103D4D2644D13758221646	0D0E2FF4EF71B22D69E9B66F4DBBD207
SRR37663710	2026-06-15 11:22:51	2026-03-17 12:19:59	629337	5830162552	0	9263	4938		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR037/37663/SRR37663710/SRR37663710.1	SRX32542367	T_T21	WGS	RANDOM	GENOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP683031	PRJNA1435864		1435864	SRS28401140	SAMN56458206	simple	318829	Pyricularia oryzae	T_T21							no					KANSAS STATE UNIVERSITY	SRA2353486		public	8C1F0727AD8E031BBAE2BB318F538152	7F7B939B33540B65CDDF41B996370A17
SRR34290622	2025-06-29 22:26:27	2025-06-29 22:22:09	170794	2887100267	0	16903	1477		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR034/34290/SRR34290622/SRR34290622.1	SRX29461781	95085-HIFI	WGS	RANDOM PCR	GENOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel II	SRP527452	PRJNA1146767		1146767	SRS25606249	SAMN49709672	simple	318829	Pyricularia oryzae	FJ95085-hifi							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA2158574		public	79DDF2A921372F1ED506B07DFE0B16F4	0E509289019D9CA80F74B49A35D576ED
SRR34986243	2025-08-14 04:29:39	2025-08-14 04:25:57	354805	7054312844	0	19882	2487		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR034/34986/SRR34986243/SRR34986243.1	SRX30105002	LIB_HiFi_001	WGS	RANDOM	GENOMIC	SINGLE	0	0	PACBIO_SMRT	Revio	SRP608610	PRJNA1305328		1305328	SRS26156765	SAMN50590790	simple	318829	Pyricularia oryzae	RB20-1							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA2195058		public	03C676699085FB0421BF1BE3D3C2D1D0	02333C586D38C0FDE37C9E2E0AA032AB
SRR35145531	2025-08-26 22:35:34	2025-08-26 22:09:29	49182	1272385215	0	25870	1164		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR035/35145/SRR35145531/SRR35145531.1	SRX30251174	HAOGO	WGS	RANDOM	GENOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel II	SRP612972	PRJNA708616		708616	SRS26303770	SAMN18243335	simple	318829	Pyricularia oryzae	Gp0518960							no					JGI	SRA2205624		public	0C6374C071EDE044A1CDDD394EFF99FA	A3D9B701EC353CD5D19566342955098B
SRR35175281	2025-08-28 16:41:25	2025-08-28 16:29:49	36406	908701600	0	24960	822		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR035/35175/SRR35175281/SRR35175281.1	SRX30280165	HAOGS	WGS	RANDOM	GENOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel II	SRP614043	PRJNA708618		708618	SRS26329226	SAMN18243565	simple	318829	Pyricularia oryzae	Gp0518962							no					JGI	SRA2207839		public	065900616B0351521B5A7E99B07DFEAA	F3ECBBA1BF1C2B284798F0BC1C6E2C55
