Assembly Accession	Assembly Name	Assembly BioSample Accession	Assembly BioSample Host
GCA_000292605.2	PoP131	SAMN02981399	Oryza sativa L. ssp. japonica
GCA_003016745.2	ASM301674v2	SAMN06050113	Oryza sativa
GCA_004346965.1	ASM434696v1	SAMN10491321	Eleusine coracana
GCA_004785725.2	ASM478572v2	SAMN06076154	Triticum aestivum
GCA_011799915.1	ASM1179991v1	SAMN12340660	Oryza sativa
GCA_012272995.1	ASM1227299v1	SAMN14533965	perennial ryegrass
GCA_021764705.1	ASM2176470v1	SAMN25211060	
GCA_025473255.1	ASM2547325v1	SAMN20714328	Oryza sativa
GCA_025473295.1	ASM2547329v1	SAMN20714325	Oryza sativa
GCA_026261775.1	ZM1-2.v0.43	SAMN29254577	Triticum aestivum
GCA_030512215.1	TGR2_hybrid_assembly	SAMN27511241	Oryza sativa
GCA_030718865.1	ASM3071886v1	SAMN36849576	Triticum aestivum
GCA_036172685.1	TF05-1MC7Ref1	SAMN36850036	Lolium arundinaceum
GCA_036493215.1	Br48_v3	SAMD00549507	
GCA_043231905.1	KSU_PyrO_219_1	SAMN37099171	Rice
GCA_043231915.1	KSU_PyrO_137_1	SAMN37099170	Rice
GCA_043231925.1	KSU_PyrO_135_1	SAMN37099169	Rice
GCA_046718735.1	KSU_PyrO_Guy11_1	SAMN37608890	rice
GCA_049735435.1	ASM4973543v1	SAMN46257954	Oryza sativa
GCA_050157325.1	ASM5015732v1	SAMN43111381	Oryza sativa
GCA_050157855.1	ASM5015785v1	SAMN43111376	Oryza sativa
GCA_050157985.1	ASM5015798v1	SAMN43111377	Oryza sativa
GCA_057381395.1	ASM5738139v1	SAMN31488230	Setaria italica
GCA_059329645.1	Br58v1	SAMN56458202	Avena sativa
GCA_059329725.1	ATCC64557v1	SAMN56458205	Lolium multiflorum
GCA_059330025.1	B2v1	SAMN56501178	Triticum aestivum
GCA_059330095.1	P3v1	SAMN56501177	Triticum aestivum
GCA_059330115.1	16MoT01v1	SAMN56458201	Triticum aestivum
GCA_059330365.1	NE20v1	SAMN56458204	Triticum aestivum
GCA_059330485.1	T21v1	SAMN56458206	Triticum aestivum
GCA_059330725.1	T47v1	SAMN56458203	Triticum aestivum
GCA_059330735.1	OKI18v1	SAMN56458200	Triticum aestivum
GCA_059469275.1	ASM5946927v1	SAMN49375469	
GCA_905067015.2	AG098_contigs_polished	SAMEA7473266	
GCA_905067025.2	AG006_contigs_polished	SAMEA7473262	
GCA_905067035.2	AG039_contigs_polished	SAMEA7473258	
GCA_944606235.1	O23_contigs_polished	SAMEA110144965	Oryza sativa
GCA_944606705.1	d44a_contigs_polished	SAMEA110145009	
GCA_944989335.1	GA10A2_contigs_polished	SAMEA110153377	Setaria
GCA_946468025.1	MoT PS-2	SAMEA110691667	
