biosample	isolate	host	isolation_source	geo_loc_name
SAMN00555636				
SAMN00555637				
SAMN00582188				
SAMN00582189				
SAMN00582190				
SAMN00582191				
SAMN00582192				
SAMN00582193				
SAMN00582194				
SAMN00582195				
SAMN00582196				
SAMN00582197				
SAMN00582198				
SAMN00582199				
SAMN00582200				
SAMN00582201				
SAMN00582202				
SAMN00582203				
SAMN00582204				
SAMN00582205				
SAMN00582206				
SAMN00582207				
SAMEA4284189	Tuebingen			
SAMEA4284184	Tuebingen			
SAMEA4284202	Tuebingen			
SAMEA4284201	Tuebingen			
SAMEA4284185	Tuebingen			
SAMEA4284200	Tuebingen			
SAMEA4284186	Tuebingen			
SAMEA4284187	Tuebingen			
SAMN07473258				
SAMN07473259				
SAMN07473260				
SAMN07473261				
SAMN07473262				
SAMN07473263				
SAMN07473264				
SAMN07473265				
SAMN07473266				
SAMN02981399	P131	Oryza sativa L. ssp. japonica	infected leaf	Japan
SAMN06050152	FJ81278	Oryza sativa	not collected	China: Fujian
SAMN06050153	GUY11	Oryza sativa	not collected	Guyana
SAMN06076154	B71	Triticum aestivum	wheat head	Bolivia: Okinawa Uno
SAMN08033374	K23/123	Eleucine coracana	neck blast	Kenya: Busia district
SAMN12142210	E34	Eleucine coracana	neck blast	Ethiopia: Diga
SAMN12340659	AV1-1-1	Oryza sativa		Ghana: Aveyime
SAMN12340660	Sar-2-20-1	Oryza sativa		Suriname: Saramacca
SAMN12340661	FJ98099	Oryza sativa		China: Fujian
SAMN12340662	FJ72ZC7-77	Oryza sativa		China: Fujian
SAMN12384714	Guy-11	Oryza sativa	China	USA: Berkeley
SAMN12384715	Guy-11	Oryza sativa	China	USA: Berkeley
SAMN12384716	Guy-11	Oryza sativa	China	USA: Berkeley
SAMN13111517	LpKY97-1	Lolium perenne	not applicable	USA: Lexington
SAMN13111518	LpKY97-1	Lolium perenne	not applicable	USA: Lexington
SAMN13111519	LpKY97-1	Lolium perenne	not applicable	USA: Lexington
SAMN18242898	GY0011	not applicable	missing	missing
SAMN18243335	FR0013	not applicable	missing	missing
SAMN18243565	TH0003	not applicable	missing	missing
SAMN20714321	Rep1-buf1#2	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714322	Rep1-buf1#4	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714323	Rep1-buf1#5	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714324	Rep1-buf1#6	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714325	Rep1-buf1#10	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714326	Rep4-buf1#1	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714327	Rep4-buf1#5	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN20714328	Rep4-buf1#13	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN29254577	ZM1-2	Triticum aestivum		Zambia: Mpika, Muchinga
SAMN29254579	ZM2-1	Triticum aestivum		Zambia: Mpika, Muchinga
SAMN29985039	Rep1-bas4#2	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN29985040	Rep1-bas4#3	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN29985041	Rep1-bas4#11	Oryza sativa	CRISPR-Cas12a editing	USA:Lab strain
SAMN30921126	KEN54-20	rice		Japan
SAMN32641600	gw6		foxtail mille	China:Hebei,shijiazhuang,Gaocheng
SAMN36849576	T3	Triticum aestivum		Brazil
SAMN36850036	TF05-1MC7	Lolium arundinaceum		USA: Kentucky, Lexington
SAMN37051445	Guy11	not applicable		USA:Kansas, Manhattan
SAMN37051447	O-135	not applicable		USA:Kansas, Manhattan
