host_normalized	genus_group	n_assemblies
Oryza sativa (Reis)	Oryza	275
(kein Host-Attribut)	(kein Host-Attribut)	164
Triticum aestivum (Weizen)	Triticum	58
Eleusine coracana (Fingerhirse)	Eleusine	28
Urochloa brizantha (Signalgras)	Urochloa	14
Eleusine indica (Goosegrass)	Eleusine	13
Lolium perenne (Weidelgras)	Lolium	7
Melinis repens	Melinis	6
Lolium multiflorum (Welsches Weidelgras)	Lolium	5
Lolium arundinaceum (Rohrschwingel)	Lolium	4
Setaria viridis (Gruene Borstenhirse)	Setaria	4
Urochloa mutica	Urochloa	4
Setaria spp.	Setaria	2
Bromus spp.	Bromus	2
Bromus tectorum	Bromus	2
Stenotaphrum secundatum	Stenotaphrum	2
Eragrostis curvula (Liebesgras)	Eragrostis	2
(nicht angegeben)	(nicht angegeben)	2
Avena sativa (Hafer)	Avena	1
Setaria italica (Kolbenhirse)	Setaria	1
Hordeum vulgare (Gerste)	Hordeum	1
Festuca sp. (Schwingel)	Festuca	1
Urochloa distachya	Urochloa	1
Triticum turgidum durum (Hartweizen)	Triticum	1
Echinochloa colona (Junglereis)	Echinochloa	1
Eragrostis tef (Tef)	Eragrostis	1
Panicum repens	Panicum	1
Leersia hexandra	Leersia	1
Zingiber officinale (Ingwer)	Zingiber (Ausreisser/Fehlzuordnung?)	1
