Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage
GCA_000734075.1	Pyricularia oryzae	Mo2303.1	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739932	2014-07-28	Seoul National University	38048501	6787	14246	14246	65
GCA_000734085.1	Pyricularia oryzae	Mo1801.4	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739928	2014-07-28	Seoul National University	35759866	8396	8645	8645	69
GCA_000734095.1	Pyricularia oryzae	Mo1106.2	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739886	2014-07-28	Seoul National University	37556816	5680	16021	16021	76
GCA_000734105.1	Pyricularia oryzae	Mo1836.3	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739929	2014-07-28	Seoul National University	35818083	7899	9241	9241	78
GCA_000734155.1	Pyricularia oryzae	Mo4403.2	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739933	2014-07-28	Seoul National University	36260258	8416	9076	9076	73
GCA_000734165.1	Pyricularia oryzae	Mo401.4	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739935	2014-07-28	Seoul National University	36036965	8275	8875	8875	80
GCA_000734185.1	Pyricularia oryzae	Mo903.4	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739936	2014-07-28	Seoul National University	36211322	8248	9108	9108	74
GCA_000734215.1	Pyricularia oryzae	Mo4603.4	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02739934	2014-07-28	Seoul National University	37593290	5947	15697	15697	64
GCA_000734235.1	Pyricularia oryzae	MoHB12	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740630	2014-07-28	Seoul National University	36716275	7622	10757	10757	74
GCA_000734245.1	Pyricularia oryzae	MoJS25	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740633	2014-07-28	Seoul National University	36863900	6159	14129	14129	71
GCA_000734265.1	Pyricularia oryzae	MoNX37	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740634	2014-07-28	Seoul National University	35871377	8518	8745	8745	78
GCA_000734275.1	Pyricularia oryzae	MoSC05	Contig	Velvet v. 1.2.08	Illumina GAIIx	PRJNA245782	SAMN02740636	2014-07-28	Seoul National University	36679878	8190	9793	9793	77
