accession	organism_name	strain	tax_id	assembly_level	assembly_status	release_date	submitter	refseq_category	sequencing_tech_raw	tech_category	biosample_accession	host	isolation_source	geo_loc_name	collection_date	total_sequence_length	total_ungapped_length	number_of_contigs	contig_n50	contig_l50	number_of_scaffolds	scaffold_n50	scaffold_l50	total_number_of_chromosomes	gc_percent	assembly_name	is_t2t_flagged	is_gapless_chromosome_level
GCA_000002495.2	Pyricularia oryzae 70-15	70-15	242507	Chromosome	current	2011-10-14	International Rice Blast Genome Consortium	reference genome	Sanger ABI	sanger	SAMN02953596					40979121	40949321	216	823590	13	53	6606598	3	7	51.5	MG8	False	False
GCF_000002495.2	Pyricularia oryzae 70-15	70-15	242507	Chromosome	current	2011-10-14	International Rice Blast Genome Consortium	reference genome	Sanger ABI	sanger	SAMN02953596					40979121	40949321	216	823590	13	53	6606598	3	7	51.5	MG8	False	False
GCA_059330735.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458200	Triticum aestivum		Bolivia	2018	43347792	43347792	7	7502585	3	7	7502585	3	7	50	OKI18v1	False	True
GCA_049735435.1	Pyricularia oryzae	70-15	318829	Complete Genome	current	2025-04-17	Chinese Academy of Sciences		PacBio SequelI	long-read	SAMN46257954	Oryza sativa	infected leaf	None	2021-11-01	43463497	43463497	7	6853756	3	7	6853756	3	7	51	ASM4973543v1	False	True
GCA_050157985.1	Pyricularia oryzae	Guy11	318829	Complete Genome	current	2025-05-06	Fujian Agriculture and Forestry University		PacBio	long-read	SAMN43111377	Oryza sativa		not collected	not collected	42973823	42973823	7	6773983	3	7	6773983	3	7	51	ASM5015798v1	False	True
GCA_050157325.1	Pyricularia oryzae	95HPH-4	318829	Complete Genome	current	2025-05-06	Fujian Agriculture and Forestry University		Oxford Nanopore PromethION	long-read	SAMN43111381	Oryza sativa		China: Fujian	2023	47777704	47777704	9	6738481	4	9	6738481	4	9	51	ASM5015732v1	False	True
GCA_050157855.1	Pyricularia oryzae	95085	318829	Complete Genome	current	2025-05-06	Fujian Agriculture and Forestry University		Oxford Nanopore PromethION	long-read	SAMN43111376	Oryza sativa		China: Fujian	1995	45859373	45859373	9	6551064	4	9	6551064	4	9	51	ASM5015785v1	False	True
GCA_059330115.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458201	Triticum aestivum		Brazil: Passo Fundo, Rio Grande do Sul	2016	44285086	44285086	8	6433460	3	8	6433460	3	8	50	16MoT01v1	False	True
GCA_059330025.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56501178	Triticum aestivum		Bolivia	2011	42958876	42958876	8	6311493	3	8	6311493	3	8	50	B2v1	False	True
GCA_036493215.1	Pyricularia oryzae		318829	Complete Genome	current	2023-08-24	Cell function and structure, Graduate School of Agricultural Sciences, Kobe University		PacBio2; Illumina MiSeq;Illumina HiSeq	hybrid (long-read+short-read)	SAMD00549507			Brazil	2020-10-30	42501442	42501442	7	6276809	3	7	6276809	3	7	50	Br48_v3	False	True
GCA_012272995.1	Pyricularia oryzae	LpKY97	318829	Complete Genome	current	2020-04-12	University of Kentucky		Oxford Nanopore MiniION	long-read	SAMN14533965	perennial ryegrass		not applicable	not applicable	45612971	45612971	9	6155580	4	9	6155580	4	9	50	ASM1227299v1	False	True
GCA_004346965.1	Pyricularia oryzae		318829	Complete Genome	current	2019-03-12	Academia Sinica		PacBio RSII; Illumina MiSeq	hybrid (long-read+short-read)	SAMN10491321	Eleusine coracana		Japan: Miyazaki	1976	42703282	42703282	7	6129159	3	7	6129159	3	7	50	ASM434696v1	False	True
GCA_059329645.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458202	Avena sativa		Brazil: Parana	1990	43683271	43683271	9	5985948	4	9	5985948	4	9	50	Br58v1	False	True
GCA_059330365.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458204	Triticum aestivum		Bolivia	2020	44500455	44500455	8	5943893	4	8	5943893	4	8	50	NE20v1	False	True
GCA_059329725.1	Pyricularia oryzae		318829	Complete Genome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458205	Lolium multiflorum		USA: Mississippi	1980	43923837	43923837	8	5691609	3	8	5691609	3	8	50	ATCC64557v1	False	True
GCA_000292605.2	Pyricularia oryzae P131	P131	1143193	Complete Genome	current	2023-07-25	China Agricultural University		Illumina HiSeq; PacBio; Hi-C	hybrid (long-read+short-read)	SAMN02981399	Oryza sativa L. ssp. japonica	infected leaf	Japan	1976-01-01/1976-12-31	43237743	43237743	7	7048921	3	7	7048921	3	7	51	PoP131	False	True
GCA_004785725.2	Pyricularia oryzae	B71	318829	Chromosome	current	2021-03-15	Kansas State University		Oxford Nanopore MiniION	long-read	SAMN06076154	Triticum aestivum	wheat head	Bolivia: Okinawa Uno	2012-03-09	44811409	44811209	10	6474281	3	8	6668242	3	8	50	ASM478572v2	False	False
GCA_030718865.1	Pyricularia oryzae	T3	318829	Chromosome	current	2023-08-14	Kansas State University		Oxford Nanopore MinION	long-read	SAMN36849576	Triticum aestivum		Brazil	1986	41682104	41681904	9	6136143	3	7	6306421	3	7	50	ASM3071886v1	False	False
GCA_059330725.1	Pyricularia oryzae		318829	Chromosome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458203	Triticum aestivum		Brazil: Sertaneja, Parana	1985	43610337	43610237	9	6109771	4	8	6482445	3	8	50	T47v1	False	False
GCA_059330485.1	Pyricularia oryzae		318829	Chromosome	current	2026-07-13	Kansas State University		Oxford Nanopore MinION	long-read	SAMN56458206	Triticum aestivum		Brazil: Floresta, Parana	1988	45125712	45125312	13	6045283	4	9	6045283	4	9	50	T21v1	False	False
