Assembly Accession	Organism Name	Assembly Name	Assembly Level	Assembly Assembly Method	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Release Date	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Genome Coverage	selection_rank
GCA_059330735.1	Pyricularia oryzae	OKI18v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458200	2026-07-13	Kansas State University	43347792	7	7502585	7502585	120	1
GCA_000292605.2	Pyricularia oryzae P131	PoP131	Complete Genome	Canu v. 2; Juicer v. 1.6	Illumina HiSeq; PacBio; Hi-C	PRJNA82693	SAMN02981399	2023-07-25	China Agricultural University	43237743	7	7048921	7048921	300	2
GCA_049735435.1	Pyricularia oryzae	ASM4973543v1	Complete Genome	HiCanu v. 2.2	PacBio SequelI	PRJNA1210831	SAMN46257954	2025-04-17	Chinese Academy of Sciences	43463497	7	6853756	6853756	173	3
GCA_050157985.1	Pyricularia oryzae	ASM5015798v1	Complete Genome	Canu v. 2.2	PacBio	PRJNA1146767	SAMN43111377	2025-05-06	Fujian Agriculture and Forestry University	42973823	7	6773983	6773983	160	4
GCA_050157325.1	Pyricularia oryzae	ASM5015732v1	Complete Genome	Canu v. 2.2	Oxford Nanopore PromethION	PRJNA1146767	SAMN43111381	2025-05-06	Fujian Agriculture and Forestry University	47777704	9	6738481	6738481	360	5
GCA_050157855.1	Pyricularia oryzae	ASM5015785v1	Complete Genome	Canu v. 2.2	Oxford Nanopore PromethION	PRJNA1146767	SAMN43111376	2025-05-06	Fujian Agriculture and Forestry University	45859373	9	6551064	6551064	420	6
GCA_059330115.1	Pyricularia oryzae	16MoT01v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458201	2026-07-13	Kansas State University	44285086	8	6433460	6433460	100	7
GCA_059330025.1	Pyricularia oryzae	B2v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56501178	2026-07-13	Kansas State University	42958876	8	6311493	6311493	58	8
GCA_036493215.1	Pyricularia oryzae	Br48_v3	Complete Genome	HGAP, CLC Genomics workbench v. 11.0.1	PacBio2; Illumina MiSeq;Illumina HiSeq	PRJDB14561	SAMD00549507	2023-08-24	Cell function and structure, Graduate School of Agricultural Sciences, Kobe University	42501442	7	6276809	6276809	250	9
GCA_012272995.1	Pyricularia oryzae	ASM1227299v1	Complete Genome	Canu v. 2.0	Oxford Nanopore MiniION	PRJNA579424	SAMN14533965	2020-04-12	University of Kentucky	45612971	9	6155580	6155580	50	10
GCA_004346965.1	Pyricularia oryzae	ASM434696v1	Complete Genome	HGAP v. 3	PacBio RSII; Illumina MiSeq	PRJNA507314	SAMN10491321	2019-03-12	Academia Sinica	42703282	7	6129159	6129159	250	11
GCA_059329645.1	Pyricularia oryzae	Br58v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458202	2026-07-13	Kansas State University	43683271	9	5985948	5985948	80	12
GCA_059330365.1	Pyricularia oryzae	NE20v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458204	2026-07-13	Kansas State University	44500455	8	5943893	5943893	80	13
GCA_059329725.1	Pyricularia oryzae	ATCC64557v1	Complete Genome	Canu v. 2.2	Oxford Nanopore MinION	PRJNA1435864	SAMN56458205	2026-07-13	Kansas State University	43923837	8	5691609	5691609	100	14
GCA_004785725.2	Pyricularia oryzae	ASM478572v2	Chromosome	Canu v. 1.9	Oxford Nanopore MiniION	PRJNA355407	SAMN06076154	2021-03-15	Kansas State University	44811409	10	6474281	6668242	280	15
